source,target,x,y,slat,slng,tlat,tlng,label,fre,ebt
1724,1793,-36.25916295,-12.04105461,28.00258,120.70728,28.00591,120.71482,1,40,0.029889539
61,1057,-14.11275614,-44.95309342,28.00969,120.67408,28.00859,120.67718,3,345,0
1722,2832,-37.35182634,54.50042257,27.87744,120.7991,27.8881,120.80006,7,658,0
318,341,0.5073447,6.309076991,27.97271,120.64743,27.98975,120.64468,-1,301,0
29,2080,-9.164026549,-12.18978455,27.9926,120.671,27.994449,120.671107,0,11,0
330,2343,16.16941882,63.73203247,27.8779,120.688,27.866719,120.675409,15,36,0
212,281,-46.79685717,24.56330935,27.95491,120.7872,27.94397,120.77876,7,54,0
680,2691,-47.36616725,28.63162772,27.95109,120.83505,27.93204,120.83665,7,146,0
9,440,12.20528621,-6.042535704,27.99378,120.6501,28.00029,120.64716,3,91,0
739,2538,-81.89097005,2.272104449,28.0287,120.8004,28.00886,120.77826,14,34,0
755,2353,-2.791115398,45.09456392,27.928,120.698,27.973777,120.682079,-1,14,0
652,2274,-32.70863668,49.29874093,27.88623,120.80236,27.87983,120.81482,7,96,0
61,565,-14.44894728,-41.48722996,28.00969,120.67408,28.00841,120.66454,3,147,0
1206,2209,-4.795156982,22.75862451,27.95921,120.65553,27.96734,120.67106,4,30,0
920,1337,6.637582632,29.9001344,27.94553,120.6091,27.9422,120.581,11,324,59.76760715
589,1546,-1.883901944,-51.98767516,28.013126,120.664223,28.014012,120.66431,3,174,0
214,1637,23.69463118,-7.84106607,28.01125,120.625528,28.007347,120.618907,9,445,0
841,1347,5.354037171,-42.88383086,28.0171,120.63698,28.01058,120.65406,3,20,0
857,1956,-36.16594904,28.1939189,27.93632,120.80777,27.96946,120.72066,-1,17,0
1799,2239,-24.19117905,-34.60320597,27.99461,120.68409,28.00222,120.68192,0,19,0
1637,2396,22.63482969,-9.445846499,28.007347,120.618907,28.03985,120.62173,-1,21,0
1348,2250,-10.19574101,52.42265346,27.92776,120.69408,27.92446,120.6923,13,617,0
19,318,-9.354078735,6.40542922,27.98443,120.66958,27.97271,120.64743,-1,14,0
1454,2875,-3.942062223,55.09587593,27.92271,120.7068,27.92368,120.70347,13,317,0
109,2085,66.38421057,-9.230621312,28.03316,120.59087,28.04973,120.58807,12,98,0
1680,1794,-19.40248549,25.47169245,27.96413,120.67139,27.94302,120.67619,4,18,0
1947,2917,-22.94543915,-25.4204088,27.98803,120.67876,27.98585,120.67889,0,115,0
449,1647,-8.375767478,57.37740271,27.93173,120.70133,27.92515,120.70447,13,585,0
1424,2365,41.95644234,25.30487795,28.02108,120.60101,28.01894,120.59618,8,4650,0
73,1670,24.35645098,-2.92319092,28.01003,120.63314,28.00788,120.63732,3,7,0
761,2323,24.1025034,-46.69660577,28.02569,120.64175,28.02463,120.6447,-1,565,0
500,633,-46.91714094,-19.64624761,27.99978,120.7112,27.98491,120.70392,-1,7,0
475,2059,19.150826,16.25246744,27.98226,120.62389,27.987233,120.614505,6,323,0
1455,2729,54.36203028,-26.95879728,28.03905,120.62757,28.05359,120.63947,2,141,0
1105,1923,8.924432301,0.69416326,28.00791,120.64843,27.99631,120.64437,3,43,0
1528,2617,14.04105622,-46.74629071,28.01484,120.64575,28.02136,120.65561,3,36,0
46,2483,28.98131937,-33.27064079,28.04917,120.61056,28.02455,120.61196,-1,20,0
42,1673,11.2945302,-5.051803834,28.0014,120.65569,28.00217,120.64577,3,341,0
1271,1435,48.96863519,-19.88898439,28.047627,120.634779,28.046174,120.636789,2,6,0
1098,1271,49.64237137,-20.42726222,28.0475,120.62333,28.047627,120.634779,2,94,0
1860,2366,-23.48751488,13.33865533,27.97729,120.68651,27.97973,120.67677,4,303,0
284,546,9.291402162,54.17471975,27.92764,120.69437,27.92076,120.68433,13,4,0
1543,2586,-81.67914661,4.632869001,28.03307,120.79284,28.02241,120.81161,14,660,0
603,2668,3.979841692,32.35758799,27.97164,120.62661,27.94903,120.59549,-1,50,0
599,2301,-9.837371325,25.49607076,27.97321,120.72684,27.97211,120.77582,5,0,0
720,2469,-51.67551656,12.22027574,27.97976,120.74186,28.00923,120.72917,-1,3,0
362,1094,35.30674388,22.19507878,28.01738,120.60605,28.01845,120.59962,8,1898,0
116,771,-83.06870403,-5.359247419,28.06043,120.80995,28.080699,120.813099,14,1279,0
1386,1582,-24.11279365,10.78496199,27.98557,120.68544,27.96936,120.67444,-1,62,0
220,2185,18.77445143,24.39026231,27.9974,120.58543,27.97251,120.60263,6,0,0
1939,2392,-26.00872938,-40.44093552,28.00197,120.68016,28.00878,120.68835,-1,39,0
1577,1737,59.36320155,14.02383757,28.04175,120.58651,28.03968,120.57291,12,71,0
1241,2899,6.186936674,-23.7773675,28.01972,120.656976,28.02802,120.65472,-1,7,0
407,779,51.01778378,16.61408726,28.026727,120.58226,28.03387,120.594038,12,147,0
976,2304,50.23458647,-25.6245627,28.044851,120.648285,28.04617,120.63678,2,65,0
464,2848,2.190190915,24.31365798,27.9659,120.64111,27.965369,120.686131,-1,10,0
1431,1679,-51.68634999,-15.6257156,27.9917,120.70786,27.99338,120.70875,1,248,0
2010,2846,-23.32301576,-35.25721945,27.99742,120.68104,28.00084,120.68266,0,62,0
1448,2802,-43.80830786,-0.313437551,27.99567,120.715,27.98055,120.72944,-1,93,0.441248139
788,1605,14.61968112,-18.2431661,28.01601,120.64709,28.01353,120.6398,3,2,0
477,2241,-60.58683405,-9.665610355,27.994763,120.731284,27.98751,120.72346,1,1755,0
946,1885,3.449504224,28.27709796,27.94117,120.60038,27.96887,120.61609,-1,6,0.538580628
195,408,48.1848061,-18.42163376,28.041109,120.62863,28.05042,120.6339,2,30,0
1922,1970,-27.47822395,59.93156367,27.85558,120.80096,27.87,120.788,7,270,0
1439,2959,-46.99539778,-15.80909478,28.005515,120.719495,27.996193,120.708797,1,24,0
858,2748,-21.59003539,0.296198624,27.985,120.676,27.98533,120.67604,-1,156,0
545,1980,-10.65833965,17.69036875,27.96676,120.65937,27.9546,120.667,4,46,0
677,955,41.21131535,-16.47546192,28.040628,120.619569,28.04133,120.65311,2,52,0
66,1940,57.93008354,-9.892395037,28.0485,120.6088,28.05756,120.60725,2,123,0
9,1923,16.23816342,2.183459075,27.99378,120.6501,27.99631,120.64437,3,1961,0
1070,1519,-63.36847348,14.43403795,27.97374,120.7589,27.97433,120.75966,5,1879,0
2507,2729,39.15052664,-25.56644634,28.02519,120.66642,28.05359,120.63947,-1,21,0
1998,2023,17.38219897,35.78437536,27.987217,120.623164,27.97172,120.61373,6,31,0
1445,2186,-56.86604347,-15.49168194,27.99263,120.7145,27.99188,120.7165,1,196,0
1322,2755,-23.12951205,-14.7808129,28.00798,120.69032,27.99953,120.68067,-1,0,0
1591,1632,-49.28995315,-27.85621649,28.00528,120.70899,28.0016,120.70563,1,38,0
220,1562,32.30431223,35.49397268,27.9974,120.58543,27.99767,120.57531,6,580,0
1533,1900,69.20012746,8.440365495,28.06943,120.56735,28.06605,120.58485,10,1832,0
692,820,-48.80652061,-31.39582135,28.00622,120.6991,28.00789,120.70721,1,232,0
319,2209,-15.86386413,25.03123819,27.93831,120.66539,27.96734,120.67106,4,9,0
1510,1528,30.63798768,-21.13820266,28.023269,120.632426,28.01484,120.64575,-1,0,0
332,2841,-21.27371194,-18.5544438,28.00341,120.68731,28.000286,120.70749,-1,86,0
84,846,-71.53762255,-3.288060646,28.01988,120.68913,28.00453,120.74869,1,21,0
644,2428,3.885526352,-22.84669014,28.01278,120.65944,27.98819,120.6531,-1,11,278.4021327
42,427,-9.768299949,-39.74939958,28.0014,120.65569,28.005808,120.669146,3,0,0
1284,1656,-36.74557743,12.72255349,27.94439,120.71319,27.94263,120.73736,5,37,0
167,966,-42.68103294,24.57654105,27.94045,120.7928,27.918388,120.823666,7,32,0.51989768
666,1744,62.65959834,7.2910359,28.07352,120.58467,28.049438,120.581163,-1,37,0
308,2575,62.7290111,2.319203856,28.07118,120.58698,28.02926,120.59028,-1,7,0
79,87,-3.280494867,57.9013056,27.921889,120.696181,27.92144,120.6877,13,35,0
1727,2713,-37.89401415,34.63241041,27.91218,120.83617,27.9236,120.82555,7,12,0
755,969,-11.69986301,55.48845353,27.928,120.698,27.92722,120.69833,13,9031,0
1108,1245,-8.556234973,52.4044959,27.924685,120.69711,27.92828,120.69722,13,79,0
1683,1848,-22.02599874,29.49061334,27.95708,120.67304,27.96164,120.66747,4,8770,0
637,2930,-29.41716801,-20.11318213,28.01522,120.68916,28.021655,120.71483,1,0,0
822,1119,18.47134189,15.49857075,27.98549,120.6218,27.98495,120.62353,6,156,0
13,176,36.93640793,28.92252338,28.02484,120.61133,28.02521,120.6105,8,4627,0
1284,2564,-16.99183944,46.22639734,27.94439,120.71319,27.96169,120.70433,5,1465,0
544,1008,56.86819837,-1.565824093,28.05007,120.58709,28.06212,120.60705,-1,93,0
477,549,-58.94100114,-27.32253655,27.994763,120.731284,28.00025,120.7286,1,366,0
2258,2617,-3.798735214,-54.54722875,28.01658,120.65764,28.02136,120.65561,3,206,0
137,1550,25.85619854,9.222064036,28.09455,120.68783,28.090555,120.686722,16,2852,0
1927,2890,42.33134405,-18.89872802,28.04626,120.62785,28.02424,120.6348,-1,13,0
1565,1796,38.74909745,-33.89982239,28.03749,120.6251,28.04071,120.63988,2,273,0
