source,target,x,y,slat,slng,tlat,tlng,label,fre,ebt
402,1045,-3.001747135,-50.32887103,28.01188,120.66205,28.0167,120.656,3,16,0
1273,1654,42.02276354,0.740471351,28.02347,120.61544,28.02792,120.60131,8,20,0
255,1509,-40.09971937,29.17252969,27.91211,120.79786,27.9249,120.82617,7,5,0
972,2153,5.602845132,62.85640361,27.94366,120.68317,27.91643,120.68875,-1,136,0
387,674,53.42406077,27.69487832,28.0246,120.58292,28.02488,120.58073,12,1488,0
409,2496,-62.30444862,17.11915883,27.95855,120.75661,27.94412,120.76969,5,6859,0
872,2334,1.434044893,5.958239598,27.98477,120.64882,27.98855,120.64216,4,344,0
77,1521,7.287428779,-58.83306507,28.00743,120.64853,28.00551,120.66263,3,68,0
726,2344,12.17295907,-3.082796467,28.00074,120.64324,28.000843,120.64058,3,101,0
535,857,-45.65647887,24.901711,27.96456,120.79906,27.93632,120.80777,7,40,0
1489,1863,17.64381222,73.21758549,27.861,120.67971,27.8606,120.69133,15,3696,0
644,1891,0.312251733,-59.55730845,28.01278,120.65944,28.01081,120.65992,3,496,0
1160,1433,9.34360696,-42.48803642,28.01525,120.66252,28.015196,120.648057,3,16,0
86,1988,12.58211012,-52.61260378,28.01563,120.65181,28.01854,120.63879,3,23,0
534,818,-11.11840138,32.62741399,27.93767,120.66978,27.94749,120.64401,4,22,0
1684,2549,21.88671497,22.60801421,27.98796,120.61592,27.98841,120.58255,6,3,0
1947,2908,-17.78860957,-3.362100113,27.98803,120.67876,27.98585,120.6777,0,69,0
1251,2541,22.96164146,24.36543769,27.97825,120.55286,27.99417,120.59987,6,30,0
1885,2150,6.472178144,24.9960054,27.96887,120.61609,27.99711,120.58895,6,0,0
837,1455,40.02812789,-20.57601009,28.040151,120.648416,28.03905,120.62757,2,0,0
420,500,-38.21102925,-17.90907399,28.019477,120.715049,27.99978,120.7112,1,0,0
565,1926,-14.85662962,-41.65000903,28.00841,120.66454,28.01239,120.67322,3,239,0
369,1480,-36.28236461,27.63310448,27.9277,120.83323,27.96194,120.78881,7,20,0
1376,2315,-45.926028,-9.386883873,27.99176,120.72451,27.9939,120.72128,1,186,0
812,841,13.56277603,-18.55255229,28.01375,120.6551,28.0171,120.63698,3,11,0
160,2035,-40.75797624,2.596986719,27.97864,120.71467,27.98323,120.71878,1,21,0.96721191
627,1646,35.40525858,-34.32526175,28.0494,120.66193,28.03083,120.63755,2,31,0
1204,2539,12.44851021,40.55066329,27.94777,120.6125,27.97231,120.62724,-1,21,0
302,2272,1.559929296,54.92602182,27.9241,120.70277,27.91974,120.69145,13,14,0
415,2433,-9.651194863,-60.87498083,28.01975,120.65219,28.02202,120.66394,3,100,0
935,1569,-22.9145556,1.903457819,27.97987,120.68111,27.984146,120.678225,-1,1272,0
202,565,-10.98723971,-40.70835429,28.0087,120.65515,28.00841,120.66454,3,152,0
1829,1970,-26.80406595,60.3787255,27.86907,120.79115,27.87,120.788,7,734,0
430,780,-36.20795663,-37.27863906,28.00437,120.69558,28.01006,120.68043,-1,15,0
143,629,47.38318524,-47.87121131,28.04546,120.65895,28.0608,120.676028,2,13,0
741,859,-13.88057856,32.65443418,27.95095,120.65688,27.95386,120.68203,4,12,0
702,2539,-12.740671,42.43273265,27.94104,120.72061,27.97231,120.62724,-1,0,0
58,1709,-54.6887982,12.66221543,27.97969,120.74181,27.97034,120.76311,5,0,0
916,1229,2.364835026,-60.05246933,28.01381,120.65692,28.01112,120.65735,3,389,0
41,1407,12.06771736,36.21831695,27.95746,120.61208,27.97235,120.62717,-1,118,0
1549,2061,-41.49080978,-21.08303484,27.98966,120.70619,27.98839,120.68338,-1,31,0
668,1474,40.74519691,11.70506693,28.0105,120.60976,28.02436,120.58545,-1,6,0
19,2385,-7.182227394,-6.043543235,27.98443,120.66958,27.998,120.672205,0,22,0
448,729,41.24889023,20.32258467,28.024644,120.599644,28.02336,120.60588,8,105,0
565,1199,-12.90911331,-44.15773386,28.00841,120.66454,28.009766,120.667542,3,801,0
1123,1582,2.364497468,24.86622904,27.96552,120.64757,27.96936,120.67444,4,7,0
758,1723,-6.55926734,-21.21810773,27.99542,120.68153,28.01437,120.67295,-1,8,0
1651,2673,-53.54897051,7.325647073,27.97707,120.74717,27.96916,120.74277,5,75,0
420,1668,-51.4591669,-33.84985914,28.019477,120.715049,28.014884,120.718151,1,340,0
2476,2556,-52.96706577,-23.80230253,27.99996,120.71136,28.00322,120.7122,1,1514,0
2612,2848,-23.50931326,15.46939627,27.97238,120.685041,27.965369,120.686131,4,64,0
448,2847,43.23241381,2.658059775,28.024644,120.599644,28.041041,120.588459,-1,32,0
361,409,-57.24948863,27.64624891,27.95277,120.79908,27.95855,120.75661,-1,13,137.4464964
1478,1492,23.7643771,-21.29809489,28.02333,120.63639,28.02508,120.63816,-1,38,0
500,585,-38.16555136,-22.82130052,27.99978,120.7112,28.00115,120.70215,1,11,0
19,1386,-23.66461629,-2.961300108,27.98443,120.66958,27.98557,120.68544,0,462,0
2053,2213,29.5438317,-29.76938278,28.01003,120.63016,28.0397,120.63304,-1,11,0
296,799,-43.04097053,31.77497545,27.93013,120.81461,27.93368,120.81563,7,75,0
1370,1769,-35.01459885,-9.996208805,28.00092,120.7074,27.998722,120.707177,1,43,0
1852,2864,-62.92400779,16.25400728,27.96059,120.7497,27.9665,120.76112,5,2129,0
912,1806,-55.51568929,12.26102106,27.98324,120.72334,27.971111,120.759166,-1,8,0
72,631,29.82235667,34.54635646,27.97367,120.59704,27.98274,120.56357,6,112,0
178,812,15.38272502,-61.30402635,28.01444,120.65108,28.01375,120.6551,3,4352,0
942,2006,-78.48952252,0.70037358,28.021266,120.794656,28.02272,120.80061,14,97,0
331,1159,45.97213038,-1.469001267,28.03958,120.62042,28.02791,120.59925,-1,14,0
1179,2433,-0.043061798,-22.02587632,28.01715,120.66124,28.02202,120.66394,3,46,0
59,1888,-39.93680118,49.60638628,27.90238,120.80278,27.89882,120.82105,7,515,0
2548,2693,-33.21837058,-4.147061247,27.98874,120.70314,27.989197,120.703236,1,46,0
550,1316,-33.38397764,7.4415743,28.0076,120.72365,27.97332,120.71019,-1,2,0
