label,source,target,slng,slat,tlng,tlat
1,1765,1705,114.074,22.532,114.074,22.536
0,1705,1521,114.074,22.536,114.042,22.548
1,1521,1341,114.042,22.548,114.042,22.56
0,1341,1340,114.042,22.56,114.034,22.56
1,1340,1577,114.034,22.56,114.01,22.544
0,1577,1696,114.01,22.544,114.002,22.536
1,1696,1759,114.002,22.536,114.026,22.532
0,1759,1815,114.026,22.532,113.994,22.528
1,1815,1755,113.994,22.528,113.994,22.532
0,1755,1760,113.994,22.532,114.034,22.532
1,1760,1644,114.034,22.532,114.066,22.54
0,1644,1823,114.066,22.54,114.058,22.528
1,1823,1644,114.058,22.528,114.066,22.54
0,1644,1706,114.066,22.54,114.082,22.536
1,1706,1586,114.082,22.536,114.082,22.544
0,1586,1647,114.082,22.544,114.09,22.54
1,1647,1765,114.09,22.54,114.074,22.532
0,1765,1587,114.074,22.532,114.09,22.544
1,1587,1702,114.09,22.544,114.05,22.536
0,1702,1641,114.05,22.536,114.042,22.54
1,1641,1522,114.042,22.54,114.05,22.548
0,1522,1641,114.05,22.548,114.042,22.54
1,1641,1632,114.042,22.54,113.97,22.54
0,1632,1699,113.97,22.54,114.026,22.536
1,1699,1525,114.026,22.536,114.074,22.548
0,1525,1651,114.074,22.548,114.122,22.54
1,1651,1414,114.122,22.54,114.146,22.556
0,1414,1649,114.146,22.556,114.106,22.54
1,1649,394,114.106,22.54,114.146,22.624
0,394,869,114.146,22.624,114.106,22.592
1,869,1709,114.106,22.592,114.106,22.536
0,1709,1649,114.106,22.536,114.106,22.54
1,1649,1770,114.106,22.54,114.114,22.532
0,1770,1650,114.114,22.532,114.114,22.54
1,1650,1881,114.114,22.54,114.042,22.524
0,1881,1701,114.042,22.524,114.042,22.536
1,1701,1824,114.042,22.536,114.066,22.528
0,1824,1704,114.066,22.528,114.066,22.536
1,1704,1704,114.066,22.536,114.066,22.536
0,1704,1582,114.066,22.536,114.05,22.544
1,1582,1526,114.05,22.544,114.082,22.548
0,1526,1526,114.082,22.548,114.082,22.548
1,1526,1286,114.082,22.548,114.082,22.564
0,1286,1466,114.082,22.564,114.082,22.552
1,1466,1404,114.082,22.552,114.066,22.556
0,1404,1646,114.066,22.556,114.082,22.54
1,1646,1650,114.082,22.54,114.114,22.54
0,1650,1650,114.114,22.54,114.114,22.54
1,1650,1924,114.114,22.54,113.906,22.52
0,1924,1805,113.906,22.52,113.914,22.528
1,1805,1685,113.914,22.528,113.914,22.536
0,1685,1806,113.914,22.536,113.922,22.528
1,1806,1866,113.922,22.528,113.922,22.524
