source,target,x,y,slat,slng,tlat,tlng,label,fre,ebt
475,2549,7.682406826,-35.73067543,27.98226,120.62389,27.98841,120.58255,8,9,0.0
667,1874,34.75910309,31.57320587,27.986198,120.732437,27.98621,120.73466,10,16,0.0
1838,2870,-0.476454604,9.435113089,27.992551,120.66046,27.993073,120.660361,4,243,0.0
1078,2862,-47.4559006,-8.174424902,28.015777,120.621944,28.01436,120.62323,4,29,0.0
1623,1668,13.80365437,46.75675132,28.01771,120.71787,28.014884,120.718151,7,71,0.0
648,1348,41.8479864,-16.10104724,27.92779,120.69413,27.92776,120.69408,3,77,0.0
1262,1364,3.414522083,4.895539951,27.98453,120.66027,27.986295,120.662053,4,476,0.0
1070,2360,34.11425289,19.92895207,27.97374,120.7589,27.97589,120.75072,10,18,0.0
1766,2195,-53.69171517,-28.8520108,28.043254,120.617338,28.04344,120.61641,7,516,0.0
1392,2124,43.93209923,12.07531006,28.00462,120.76392,28.0048,120.764,10,188,0.0
570,917,-29.9346385,-51.76757637,28.0722,120.5703,28.06499,120.57527,9,49,0.0
944,1879,-4.624183976,50.03629542,27.99887,120.68096,27.999526,120.680665,4,474,0.0
631,1212,8.732168821,-57.65658927,27.98274,120.56357,27.99789,120.56689,8,824,0.0
392,1658,67.45100328,0.269378681,27.90266,120.80723,27.90655,120.80646,6,180,0.0
943,2035,26.63527885,27.01928053,27.98369,120.71502,27.98323,120.71878,-1,134,0.0
1612,2103,7.482326665,-52.47360671,27.9938,120.57017,27.98211,120.59701,8,352,0.0
29,1638,-9.016977324,40.95466646,27.9926,120.671,27.99258,120.67111,4,96,0.0
258,2059,3.403031272,-27.46365794,27.986706,120.608952,27.987233,120.614505,8,14,0.0
925,1049,-10.58760264,15.72067924,28.00554,120.66603,28.00814,120.66242,3,26,0.0
1405,1896,-34.00271188,-52.35886182,28.10206,120.56347,28.10296,120.57827,9,0,0.0
1221,2857,-42.3682384,-50.41397813,28.074942,120.604791,28.09805,120.59534,9,463,0.0
2229,2574,-5.265799113,6.078754181,27.99852,120.65649,27.99428,120.66013,-1,16,0.0
801,2181,30.82721106,-45.61293983,27.87582,120.66951,27.895193,120.668359,3,60,0.0
595,1534,-25.75787953,44.6362359,28.01681,120.67808,28.017189,120.678534,3,7648,0.0
1894,2666,-40.61622245,-19.45805186,28.044511,120.621742,28.04116,120.62863,7,13,0.0
622,2578,25.37764446,36.46080178,27.991878,120.718744,27.99188,120.71874,7,0,0.0
356,2555,28.01909641,11.98656014,28.03768,120.84172,28.04092,120.83605,2,1626,0.0
149,1978,-25.16897374,21.78692741,28.01646,120.65935,28.01665,120.65909,3,115,0.0
10,291,-29.72329586,7.547138595,28.0235,120.66211,28.023257,120.659016,3,19,0.0
1996,2803,40.32790526,33.73570756,27.96722,120.73585,27.96758,120.73351,10,855,0.0
2400,2429,-14.17427742,49.27587176,28.005055,120.670694,28.005,120.67051,3,12,0.0
424,1231,-19.36554433,32.55912066,28.025412,120.669507,28.025,120.669166,3,68,0.0
1443,2456,-24.2731239,39.75671975,28.02212,120.67074,28.022125,120.670739,3,5678,0.0
338,2516,44.18344284,33.9249289,27.978332,120.738888,27.97841,120.73883,10,580,0.0
414,672,16.64644237,-43.37754907,27.96162,120.59686,27.96719,120.59359,-1,8341,0.0
935,2838,4.321695579,-3.839521695,27.97987,120.68111,27.97867,120.677,-1,2,0.0
1255,1748,-12.27753742,47.69537178,27.9997,120.67055,27.99958,120.67043,3,676,0.0
441,2760,-32.963842,-50.87562984,28.102055,120.549944,28.093393,120.555994,9,19,0.0
704,1955,-7.511600152,-2.045300602,28.001326,120.643433,28.00278,120.646,3,0,57.26366214738063
68,609,-49.77240296,-32.28023313,28.02467,120.61708,28.02096,120.62016,3,5827,0.0
32,2382,26.89357206,19.23326467,28.02917,120.77439,28.02789,120.77649,2,2446,0.0
436,2620,-6.756951078,19.32435212,28.01004,120.66769,28.005401,120.667985,3,4,0.0
1485,2883,-37.65058255,-55.54933151,28.07932,120.57283,28.079318,120.572831,9,287,0.0
523,1429,-19.18528993,-25.65909852,28.01991,120.60428,28.019912,120.604277,3,7,0.0
156,1948,44.38432188,23.41044359,27.965975,120.749599,27.96583,120.74971,10,1787,0.0
322,1178,6.53190482,35.53281516,27.994,120.695,27.99689,120.69531,4,4,0.0
613,1975,-6.454472549,10.05485293,27.999,120.659,27.99941,120.66015,3,4,0.0
131,373,-33.63636205,-53.37357605,28.09088,120.555876,28.09339,120.55599,9,93,0.0
1889,2897,-23.30828661,19.13351724,28.01442,120.65841,28.01385,120.66008,3,180,0.0
254,2372,-25.1160018,-28.69567466,28.023933,120.596926,28.023805,120.597166,3,6870,0.0
2790,2791,2.725689694,-54.10459964,27.99273,120.60679,27.99739,120.58551,8,209,0.0
1019,2041,69.45292541,5.253721542,27.89391,120.81686,27.896075,120.819675,6,920,0.0
2180,2190,3.72292842,1.164716076,27.98333,120.65125,27.98235,120.67423,5,14,0.0
362,1169,-22.096329,-24.55800099,28.01738,120.60605,28.01606,120.6036,3,2065,0.0
1994,2677,-9.330174536,41.50674731,27.992378,120.669665,27.99272,120.66996,4,320,0.0
213,1969,-11.79311999,-5.903959598,28.01009,120.63564,28.00303,120.63895,3,6,0.0
1638,2190,4.094328216,14.14202435,27.99258,120.67111,27.98235,120.67423,-1,14,0.0
188,2131,6.151337444,-23.23845704,27.97988,120.63103,27.97509,120.65593,-1,17,0.0
1384,2323,-29.17527924,5.977096798,28.023261,120.644248,28.02463,120.6447,-1,5,0.0
188,983,-0.507927454,-16.7257088,27.97988,120.63103,27.97699,120.64991,-1,104,0.0
331,2246,-37.64770605,-23.99632231,28.03958,120.62042,28.04353,120.61647,7,46,0.0
572,2445,-0.085933778,-46.55995165,27.99271,120.56614,27.992515,120.595201,8,81,0.0
1962,2145,32.64551365,-13.77951898,27.89658,120.7334,27.93258,120.73604,3,541,0.0
208,1931,19.96319553,56.37854785,28.00568,120.7226,28.00622,120.72256,7,444,0.0
1210,1978,-23.19251133,21.05032454,28.016806,120.659334,28.01665,120.65909,3,3,0.0
2303,2832,59.66781643,10.50980684,27.90821,120.80227,27.8881,120.80006,6,7,0.0
405,1741,11.41951196,18.63517718,27.989232,120.680662,27.98857,120.68057,4,147,0.0
309,2773,18.07149884,-43.18600288,27.95804,120.59516,27.9589,120.59567,10,4236,0.0
1334,2764,-17.23753384,-53.88641446,28.0392,120.566,28.044142,120.567394,9,214,0.0
785,1156,-27.09922923,27.59856516,28.010162,120.66067,28.01027,120.66077,3,0,0.0
1357,2453,-40.7846672,-35.30443394,28.05143,120.60047,28.04644,120.60417,7,304,0.0
352,2924,0.329944982,57.95407465,28.007743,120.694015,28.0079,120.69401,7,15,0.0
1258,1347,-34.23406823,27.73147257,28.011,120.654,28.01058,120.65406,3,162,0.0
521,2683,-12.46122349,41.41507775,27.99979,120.66739,27.9994,120.66709,3,197,0.0
1125,2262,-5.410873055,-23.55836976,27.987701,120.628236,27.987407,120.628236,8,1868,0.0
219,525,35.4222711,-21.68971064,27.92298,120.70731,27.92276,120.70713,3,52,0.0
2370,2725,-39.49874643,-51.05243121,28.08375,120.59178,28.08578,120.59077,9,344,0.0
1329,1614,-52.82021735,19.2085895,28.02655,120.65947,28.02662,120.65948,7,1364,0.0
580,2899,-41.7708479,9.386411219,28.02797,120.6552,28.02802,120.65472,7,64,0.0
434,2242,-40.87006192,-28.96556376,28.07246,120.62056,28.094722,120.645,9,0,0.0
858,2633,14.54325144,13.82372638,27.985,120.676,27.98511,120.67531,4,183,0.0
893,1875,-8.916574883,9.968451845,28.00209,120.66254,28.00338,120.66046,3,13,0.0
313,684,34.07420427,-43.74799168,27.900456,120.63408,27.88258,120.62827,3,62,0.0
477,2637,38.92561887,45.98909476,27.994763,120.731284,27.99476,120.73128,7,11383,0.0
56,2270,25.55368171,15.93195009,28.06889,120.75639,28.05695,120.78536,-1,0,0.0
420,2930,11.7964853,60.10857031,28.019477,120.715049,28.021655,120.71483,7,145,0.0
1264,1409,-47.20137451,15.17364715,28.02498,120.653057,28.02498,120.65306,7,14,0.0
2063,2153,34.92876289,-37.82283701,27.90108,120.68568,27.91643,120.68875,3,63,0.0
281,911,44.80934583,3.747537791,27.94397,120.77876,27.96141,120.73461,-1,6,0.0
524,2305,42.59402891,31.99915545,27.98139,120.7382,27.98543,120.73922,10,98,0.0
2146,2948,-44.19550122,-40.79825583,28.051431,120.600469,28.05192,120.60027,7,1755,0.0
1576,1885,12.28983588,-42.47975991,27.970529,120.613192,27.96887,120.61609,8,454,0.0
960,2581,-34.26951695,10.47978461,28.021679,120.650433,28.020019,120.648575,3,0,0.0
1177,1579,0.051294714,60.48967087,28.00586,120.69435,28.00642,120.69411,7,312,0.0
664,2597,-0.441680517,18.0678147,27.99313,120.67216,27.993358,120.671015,4,51,0.0
1889,2349,-41.72324235,33.45734153,28.01442,120.65841,28.01461,120.65761,3,187,0.0
198,386,0.325802047,24.62266015,27.99428,120.679324,27.99487,120.67969,4,36,0.0
531,622,24.82588612,35.04218407,27.991394,120.71952,27.991878,120.718744,7,23,0.0
1605,1954,-25.41198905,0.111088553,28.01353,120.6398,28.014636,120.641603,3,28,0.0
1037,2696,37.49498118,-23.69483605,27.9231,120.70471,27.92345,120.70485,3,66,0.0
2324,2625,71.56367003,14.10366288,27.8722,120.8266,27.89938,120.82864,6,96,0.0
779,2576,-30.05618184,-35.81116483,28.03387,120.594038,28.02963,120.5999,-1,6,0.0
167,360,49.8797403,-0.012525348,27.94045,120.7928,27.93627,120.80128,-1,34,0.0
336,1780,8.695165287,36.84316232,27.999046,120.699788,27.99905,120.69979,7,0,0.0
2784,2888,-54.6068768,-34.74655883,28.05184,120.61542,28.05349,120.61286,7,49203,0.0
113,1033,-20.56562765,-7.144915127,28.01211,120.63736,28.007951,120.626328,-1,38,92.44182236218782
870,2305,39.09624418,13.66084949,27.99111,120.78113,27.98543,120.73922,10,0,0.0
96,191,22.16561899,-1.179579994,27.96572,120.68191,27.96628,120.68116,5,9,0.0
1650,2733,-51.62523137,-5.450732493,28.020022,120.631375,28.019524,120.631948,-1,1168,0.0
1169,1890,-17.60061381,-23.0153011,28.01606,120.6036,28.01412,120.60625,3,37,0.0
169,734,-19.01728509,-21.46563714,28.01257,120.6053,28.01097,120.60609,3,219,0.0
843,1974,0.092987376,-2.467450188,28.0398,120.8304,28.04339,120.81815,2,6,0.0
1692,2831,-41.4426126,-13.26437794,28.0404,120.64565,28.04021,120.64658,7,24,0.0
1037,2016,41.75299206,-23.92231781,27.9231,120.70471,27.92264,120.70453,3,80,0.0
314,2360,36.26204918,25.49218944,27.97965,120.74458,27.97589,120.75072,10,2,0.0
63,668,-22.6396847,-19.00837503,28.01488,120.61139,28.0105,120.60976,3,89,0.0
438,2396,-55.97107446,-28.12052917,28.03933,120.62364,28.03985,120.62173,7,4688,0.0
702,1430,37.01774839,-1.354923453,27.94104,120.72061,27.9498,120.72544,10,141,0.0
1498,1589,33.33520576,15.03282914,28.02468,120.77976,28.02956,120.75507,-1,22,0.0
1519,1709,48.28086929,17.67273909,27.97433,120.75966,27.97034,120.76311,10,22700,0.0
943,1843,26.83705008,25.19196666,27.98369,120.71502,27.983923,120.680378,-1,0,0.0
513,676,36.17899804,-36.22954312,27.921152,120.682999,27.92115,120.683,3,145,0.0
1233,2960,-8.106958782,-32.27695878,28.01428,120.58353,28.017,120.583,9,2975,0.0
1055,2111,73.87977389,6.149095382,27.89321,120.79688,27.88503,120.79691,6,1325,0.0
442,2222,59.95620767,-10.12901866,27.92124,120.83163,27.92255,120.8311,6,299,0.0
159,2008,17.2246624,-8.53503305,27.94833,120.66804,27.94461,120.67066,5,0,0.0
82,2928,-4.348588759,45.51281844,27.99276,120.68048,27.99271,120.68075,4,312,0.0
273,2656,-47.3364187,16.8417959,28.02613,120.64691,28.024797,120.649708,7,2120,0.0
90,423,46.17123707,7.672535277,27.96939,120.78179,27.962446,120.822852,-1,89,0.0
932,1175,-36.50338088,29.90769162,28.009722,120.654166,28.00978,120.65422,3,51,0.0
454,2680,6.614151765,4.244336409,27.98,120.66708,27.97782,120.66753,5,615,0.0
1166,2185,14.90503026,-44.20618621,27.95794,120.60138,27.97251,120.60263,-1,373,0.0
556,827,-2.460170302,-9.254070401,27.99014,120.62903,27.989718,120.637748,8,28,0.0
289,2224,8.519166058,10.4586127,27.986896,120.672178,27.98445,120.67253,4,77,0.0
1035,2351,19.19776802,-39.47417585,27.95025,120.60263,27.95215,120.60432,10,3705,0.0
2454,2849,17.79203522,-31.13306594,27.89775,120.56197,27.92064,120.57853,10,122,0.0196078431372549
1807,2450,-56.78079638,-13.64369021,28.040568,120.63282,28.04901,120.63968,7,48,0.0
426,561,-42.60138791,2.012343476,28.025933,120.641498,28.02374,120.641626,-1,148,0.0
1646,1752,-38.3717705,-9.745795459,28.03083,120.63755,28.0312,120.63393,7,6,0.0
921,1325,-6.095387808,-14.73170208,27.9931,120.63688,27.99337,120.63718,8,101,0.0
120,1400,-24.05607044,-24.30551516,28.0183,120.607999,28.01833,120.60806,3,8127,0.0
2767,2942,-11.70108972,2.325503453,28.00293,120.64916,27.99994,120.64617,3,67,0.0
481,949,-27.96465273,-52.07634121,28.00644,120.59212,28.042263,120.582178,-1,5,0.0
1979,2599,-6.843451067,17.41492323,28.00367,120.67052,28.00304,120.66839,3,13,0.0
941,1445,22.57269202,31.47576428,27.99057,120.71338,27.99263,120.7145,7,26,0.0
815,2960,-9.745898778,-37.04594598,28.022225,120.579329,28.017,120.583,9,79,0.0
2223,2795,59.08444872,-6.947806091,27.922663,120.824735,27.91981,120.8278,6,304,0.0
1306,2330,9.11567534,-32.79208358,27.99383,120.62833,27.9967,120.60336,8,5,0.0
203,1859,64.98567238,15.01063307,27.87118,120.80926,27.87212,120.80789,6,19,0.0
1028,2621,-9.043934318,24.58065787,28.01278,120.6749,28.01036,120.67777,-1,10,0.0
475,1016,1.164711461,-23.61468542,27.98226,120.62389,27.983866,120.623105,8,31,0.0
42,1659,-32.3107888,34.38143692,28.0014,120.65569,28.00263,120.65655,3,710,0.0
1046,1369,15.27082845,14.55990087,27.984567,120.677031,27.98473,120.6773,4,0,0.0
334,1792,-0.172543364,-23.46741685,27.984462,120.62474,27.985149,120.627224,8,16,0.0
2812,2879,-63.37201809,1.908821696,28.03998,120.64414,28.040077,120.644167,7,28,0.0
1622,2896,5.394613363,30.98249887,28.00126,120.6875,28.00594,120.69008,-1,5,0.0
687,730,11.45152151,34.94610091,28.006318,120.696659,28.0101,120.69668,7,27,0.0
574,702,31.37180513,-14.56764074,27.93368,120.71241,27.94104,120.72061,-1,0,0.0
348,1733,-41.53944806,-16.67879034,28.07753,120.6897,28.0677,120.68542,-1,64,0.0
1448,1542,27.49111552,52.39730415,27.99567,120.715,27.99711,120.71331,7,291,0.0
2189,2468,-30.5121114,0.49448726,28.01722,120.63141,28.022717,120.632107,-1,2,0.0
1900,2440,-29.9029049,-48.90494118,28.06605,120.58485,28.043033,120.586455,9,7,0.0
1233,2588,-14.0756171,-40.66041926,28.01428,120.58353,28.02213,120.5743,9,9,0.0
2101,2680,6.088328117,0.85765605,27.977877,120.667591,27.97782,120.66753,5,45,0.0
475,1460,-4.329438162,-20.1683717,27.98226,120.62389,27.985304,120.632788,8,1353,0.0
327,2918,-34.58441854,1.163431185,28.02432,120.64367,28.024315,120.643674,3,2,0.0
75,1198,-23.35285125,-40.00100274,28.03269,120.59105,28.0332,120.591,9,278,0.0
213,1100,-45.78909663,-0.954427618,28.01009,120.63564,28.00741,120.61911,-1,65,0.0
409,552,44.12671852,21.05709133,27.95855,120.75661,27.96536,120.74141,10,204,0.0
1805,2405,23.84111351,0.596546196,27.970239,120.685696,27.96984,120.68551,5,338,0.0
820,938,12.49446322,48.9661001,28.00789,120.70721,28.00753,120.7083,7,53,0.0
287,519,-1.153395063,-11.61047309,27.986822,120.630326,27.98972,120.63892,8,2,0.0
2774,2864,45.53705881,18.68176909,27.96407,120.76438,27.9665,120.76112,10,9241,0.0
371,2726,62.06394782,-3.692269697,27.93031,120.80753,27.9296,120.80677,6,74,0.0
1732,1913,-22.91275328,-33.01294344,28.027103,120.600906,28.02588,120.60418,3,63,0.0
2164,2751,-7.693272754,20.55704432,28.01286,120.66582,28.01002,120.66745,3,38,0.0
2506,2869,-50.24311077,1.020327956,28.02561,120.63825,28.025565,120.639291,7,2,0.0
1409,2617,-36.56925712,9.670184141,28.02498,120.65306,28.02136,120.65561,-1,31,0.0
914,1469,69.12856129,-6.486843696,27.93088,120.80284,27.93568,120.7957,6,1438,0.0
133,1110,34.86312671,-7.586863318,27.9535,120.69621,27.946867,120.69923,5,7103,0.0
