574,2214,30.24388247,-18.93403787,27.93368,120.71241,27.9598,120.68203,-1,4,0.0
1318,1751,-65.8622984,21.06745325,28.073,120.71997,28.0794,120.72004,1,5037,0.0
621,703,2.480360244,-50.52569549,27.98848,120.61075,27.99417,120.59982,8,3415,0.0
2016,2144,40.34508362,-23.48675469,27.92264,120.70453,27.92809,120.70577,3,189,0.0
1900,2594,-38.55432866,-58.61926961,28.06605,120.58485,28.08581,120.59066,9,1616,0.0
1771,2066,9.135740316,33.95423394,27.99855,120.69275,27.99912,120.69521,-1,4,0.0
1950,2556,23.03073909,45.55147186,27.99139,120.71952,28.00322,120.7122,7,67,0.0
696,2387,20.09954745,-33.31960746,27.960958,120.569257,27.9665,120.57004,-1,101,0.0
1837,2428,-5.088317774,-19.89057045,27.98603,120.63754,27.98819,120.6531,-1,964,0.0
2542,2602,-20.69963822,-45.27363791,28.01903,120.61189,28.041463,120.586511,-1,49,0.0
1679,2519,28.29312067,46.54685563,27.99338,120.70875,27.99715,120.70087,7,1052,0.0
911,1496,25.04518252,3.396244969,27.96141,120.73461,27.97767,120.70127,-1,13,0.0
1290,2672,7.631920966,45.84767454,28.003203,120.691994,28.02026,120.69523,7,2,0.0
1981,2146,-46.27550668,-36.98121892,28.04382,120.61146,28.051431,120.600469,7,516,0.0
1323,1922,68.83810951,17.816761,27.85707,120.81238,27.85558,120.80096,6,192,0.0
269,680,51.91041823,-10.17947986,27.96807,120.80604,27.95109,120.83505,-1,436,0.0
318,724,-1.181266104,-15.79379718,27.97271,120.64743,27.99279,120.64931,-1,33,0.0
2356,2793,38.69936867,3.455163572,27.95672,120.7251,27.96841,120.73048,10,13,0.0
1051,1610,-44.53098096,-35.96518499,28.04252,120.60963,28.05249,120.60567,7,41,0.0
1376,1806,42.16844825,16.01138607,27.99176,120.72451,27.971111,120.759166,-1,0,0.0
280,1485,-35.9260519,-51.66783654,28.07993,120.58958,28.07932,120.57283,9,29,0.0
482,922,42.35525062,27.85599343,27.97359,120.74776,27.97842,120.75478,10,67,0.0
2449,2779,65.1894673,12.46541837,27.8763,120.82073,27.9069,120.82629,6,6,469.03832397768065
608,2819,10.44173579,20.21749739,27.99367,120.69233,27.98575,120.68281,4,27,0.0
1385,2009,-53.86743179,-14.66669461,28.05153,120.62762,28.04976,120.647462,7,28,0.0
772,2439,-18.35532848,-55.71844107,28.05187,120.61117,28.04261,120.57226,-1,64,0.0
2127,2383,2.304358815,18.06981281,27.98869,120.6726,27.99134,120.67277,4,9,0.0
2475,2930,10.95525517,44.97445671,28.013766,120.701869,28.021655,120.71483,7,36,0.0
432,1380,-0.222090094,30.81940284,28.00074,120.67929,28.00675,120.68244,4,2,0.0
25,2539,27.86939071,-14.12961402,27.976204,120.667973,27.97231,120.62724,-1,0,0.0
