source,target,x,y,slat,slng,tlat,tlng,label,mid_x,mid_y
581,2913,49.61960166,3.30395663,27.93237,120.77134,27.92081,120.81459,-1,27.95000695011086,120.78102508758309
1582,1977,4.662691851,13.22996563,27.96936,120.67444,27.99753,120.67522,-1,27.98019494043322,120.67445415667837
331,1273,-51.51749321,-34.89505306,28.03958,120.62042,28.02347,120.61544,-1,28.032579904438965,120.61508961282372
160,1747,36.63836341,33.13333869,27.97864,120.71467,27.978667,120.735061,-1,27.9832064862249,120.73087542814596
1698,1956,19.94572452,-6.062663461,27.95861,120.665556,27.96946,120.72066,-1,27.962562888998033,120.69584413064827
394,1503,-25.36472895,-42.50041022,28.029211,120.593311,28.0363,120.5857,-1,28.02754658695652,120.5927625666996
675,1794,31.84188226,-44.41233589,27.91318,120.6689,27.94302,120.67619,-1,27.94376377530121,120.6807762915662
1683,2094,8.339932384,-33.508526,27.95708,120.67304,27.992,120.60987,-1,27.974714922237407,120.64213955798085
2004,2484,-35.84840327,-45.54965731,28.05469,120.58692,28.07449,120.5874,-1,28.06240307891061,120.60650673393843
1394,1870,-12.50015113,39.57445225,27.99572,120.672658,27.99576,120.6574,-1,28.002290893566702,120.6712867918639
1133,2798,37.86353123,36.14785502,27.97533,120.72453,27.96855,120.72659,-1,27.9832064862249,120.73087542814596
646,2200,-37.79585089,6.256047563,28.02101,120.67872,28.03746,120.65611,-1,28.02646435607571,120.64822032843621
2188,2921,-38.13736271,-5.657475857,28.02031,120.62527,28.04626,120.62812,-1,28.02620499278847,120.62795083653852
2323,2581,-36.47538115,12.19696791,28.02463,120.6447,28.020019,120.648575,-1,28.02646435607571,120.64822032843621
1939,2190,6.448607704,26.89550276,28.00197,120.68016,27.98235,120.67423,-1,27.98019494043322,120.67445415667837
214,1054,-9.228860464,-10.29798167,28.01125,120.625528,27.99918,120.641648,-1,28.013442647701144,120.63344099195398
607,812,-34.74387879,10.43499634,28.024021,120.649228,28.01375,120.6551,-1,28.02646435607571,120.64822032843621
19,724,4.448217532,0.727933177,27.98443,120.66958,27.99279,120.64931,-1,28.002290893566702,120.6712867918639
2602,2938,-19.39628304,-44.69759643,28.041463,120.586511,28.02158,120.59654,-1,28.02754658695652,120.5927625666996
2236,2471,-4.430714301,22.79611137,27.9946,120.674,28.00877,120.66836,-1,28.002290893566702,120.6712867918639
46,308,-38.7498788,-44.96687901,28.04917,120.61056,28.07118,120.58698,-1,28.06240307891061,120.60650673393843
581,1544,51.85604907,-4.029877844,27.93237,120.77134,27.94688,120.81569,-1,27.95000695011086,120.78102508758309
1351,2012,-39.99644592,-0.434491905,28.04387,120.63355,28.02392,120.644412,-1,28.02646435607571,120.64822032843621
335,623,25.46634663,-20.43188984,27.93483,120.66784,27.94373,120.68649,-1,27.94376377530121,120.6807762915662
1938,2658,-30.88740225,2.878835781,28.01832,120.65141,28.023438,120.62652,-1,28.02646435607571,120.64822032843621
521,1977,-9.773537553,45.73475528,27.99979,120.66739,27.99753,120.67522,-1,28.002290893566702,120.6712867918639
1316,2149,16.40658053,22.18058061,27.97332,120.71019,27.98472,120.69611,-1,27.976492617449654,120.70585284228184
237,2086,-12.83445051,-50.71843336,28.023421,120.592786,28.03771,120.57585,-1,28.02754658695652,120.5927625666996
422,2842,6.25466631,37.66870082,28.00525,120.70299,27.98853,120.69743,-1,27.997167498855806,120.6965559652936
1159,1276,-2.760828136,-38.41145553,28.02791,120.59925,28.00066,120.58221,-1,28.00422358593749,120.59381447265628
534,599,19.74183938,-7.704065516,27.93767,120.66978,27.97321,120.72684,-1,27.962562888998033,120.69584413064827
1446,2228,18.88723437,-35.64172336,27.98015,120.60519,27.94986,120.5872,-1,27.963814004726906,120.59917123319326
1337,1578,17.87872831,-30.37455631,27.9422,120.581,27.97058,120.5853,-1,27.963814004726906,120.59917123319326
312,2149,18.83779902,7.913152595,27.97483,120.67456,27.98472,120.69611,-1,27.98019494043322,120.67445415667837
515,1699,14.35956483,8.07943881,27.96781,120.62801,27.97659,120.67899,-1,27.974714922237407,120.64213955798085
1380,2169,-1.174147951,52.63536356,28.00675,120.68244,28.002851,120.698951,-1,27.997167498855806,120.6965559652936
176,1620,-46.33346101,-8.546249807,28.02521,120.6105,28.01578,120.62194,-1,28.016462121890555,120.61551500621884
1885,2228,19.0402338,-41.70766575,27.96887,120.61609,27.94986,120.5872,-1,27.963814004726906,120.59917123319326
909,1141,19.91774729,-20.92952655,27.95992,120.64877,27.933084,120.674452,-1,27.94376377530121,120.6807762915662
815,1424,-13.73994938,-34.94013426,28.022225,120.579329,28.02108,120.60101,-1,28.02754658695652,120.5927625666996
1837,2567,-4.326640465,-18.34659474,27.98603,120.63754,27.992138,120.656444,-1,27.974714922237407,120.64213955798085
748,1284,35.09153332,-17.45072683,27.9266,120.711,27.94439,120.71319,-1,27.94569042978723,120.70458875957449
487,2471,11.05501585,-5.87100667,27.98776,120.67428,28.00877,120.66836,-1,28.002290893566702,120.6712867918639
1774,2120,-32.54611384,33.60103269,27.99094,120.65242,28.00312,120.65388,-1,27.990803190363362,120.65275680331753
935,1753,11.40229467,11.18299111,27.97987,120.68111,27.96526,120.65283,-1,27.98019494043322,120.67445415667837
193,2300,23.15374908,34.69897969,28.02809,120.78452,27.99832,120.72424,-1,28.02407278070176,120.76344128508772
1455,1689,-37.88676941,0.26053903,28.03905,120.62757,28.02095,120.64389,-1,28.02646435607571,120.64822032843621
1257,2505,19.23757666,-31.16497749,27.97868,120.57877,27.94729,120.54847,-1,27.963814004726906,120.59917123319326
608,727,-1.172232202,56.31351566,27.99367,120.69233,28.00933,120.69355,-1,27.997167498855806,120.6965559652936
1308,1359,17.23633326,9.549833677,27.98404,120.68203,27.97581,120.68459,-1,27.98019494043322,120.67445415667837
174,2012,-38.61908835,0.855173026,28.04894,120.64323,28.02392,120.644412,-1,28.02646435607571,120.64822032843621
1205,2519,4.438808005,49.97480725,27.99429,120.69956,27.99715,120.70087,-1,27.997167498855806,120.6965559652936
1430,2593,33.66878046,-2.116050496,27.9498,120.72544,27.96314,120.66947,-1,27.962562888998033,120.69584413064827
1331,2666,-41.31200128,-23.17712434,28.07361,120.61293,28.04116,120.62863,-1,28.06240307891061,120.60650673393843
1939,2519,3.792230141,28.05933448,28.00197,120.68016,27.99715,120.70087,-1,27.997167498855806,120.6965559652936
56,793,25.71604454,15.83199971,28.06889,120.75639,28.10014,120.65736,-1,28.095924888888888,120.67878350000001
26,2418,40.0287919,-47.52688835,27.91714,120.66023,27.93672,120.67951,-1,27.910377117283947,120.66762170576135
1391,2366,37.4506331,-14.84060931,27.95467,120.69939,27.97973,120.67677,-1,27.962562888998033,120.69584413064827
143,2087,-65.50585655,12.06736414,28.04546,120.65895,28.02363,120.66164,-1,28.02646435607571,120.64822032843621
695,2887,-20.64131869,-51.81225518,28.054694,120.586916,28.04609,120.57533,-1,28.044052805114628,120.59764638977073
865,1221,-42.24293605,-39.19291371,28.0464,120.604,28.074942,120.604791,-1,28.06240307891061,120.60650673393843
2252,2968,-22.61278657,19.24202685,28.0135,120.659,28.02802,120.6546,-1,28.02646435607571,120.64822032843621
708,1794,39.21125514,-12.28354507,27.9343,120.7072,27.94302,120.67619,-1,27.94376377530121,120.6807762915662
1837,2080,2.335381446,-16.79554002,27.98603,120.63754,27.994449,120.671107,-1,27.988047098484852,120.65259493181814
2788,2915,11.08121998,17.56537172,27.96243,120.65546,27.98732,120.68157,-1,27.98019494043322,120.67445415667837
234,1085,-30.35373955,-14.79539701,28.01828,120.62547,28.0257,120.6129,-1,28.016462121890555,120.61551500621884
312,1956,24.06515931,-6.549131151,27.97483,120.67456,27.96946,120.72066,-1,27.962562888998033,120.69584413064827
1391,1496,26.16291431,2.139858384,27.95467,120.69939,27.97767,120.70127,-1,27.976492617449654,120.70585284228184
1481,1528,-27.62449514,7.730936585,27.96111,120.6227,28.01484,120.64575,-1,27.994554579966323,120.63662441498319
439,607,-45.72157762,18.88252673,28.02332,120.64816,28.024021,120.649228,-1,28.02646435607571,120.64822032843621
1895,1982,19.73078011,26.58870167,27.96905,120.70307,27.98851,120.70899,-1,27.9832064862249,120.73087542814596
487,1521,-17.94108536,15.29990749,27.98776,120.67428,28.00551,120.66263,-1,28.002290893566702,120.6712867918639
1528,2053,-48.01698103,5.010660694,28.01484,120.64575,28.01003,120.63016,-1,28.013442647701144,120.63344099195398
26,335,28.66164978,-40.99353515,27.91714,120.66023,27.93483,120.66784,-1,27.92814268055556,120.66047484027779
475,1870,6.286107206,-23.89934159,27.98226,120.62389,27.99576,120.6574,-1,27.994554579966323,120.63662441498319
893,1638,-12.59113775,40.66352589,28.00209,120.66254,27.99258,120.67111,-1,28.002290893566702,120.6712867918639
780,2804,-23.76546635,46.33883125,28.01006,120.68043,28.02126,120.68452,-1,27.997167498855806,120.6965559652936
198,1699,3.525938007,15.08443995,27.99428,120.679324,27.97659,120.67899,-1,27.98019494043322,120.67445415667837
1256,1506,-33.275023,15.28595459,28.01222,120.65195,28.02799,120.66168,-1,28.02646435607571,120.64822032843621
35,2292,-29.1346077,-55.11402062,28.06905,120.57281,28.04572,120.58643,-1,28.055907617021266,120.58436497517738
319,2539,20.00370576,-8.656788858,27.93831,120.66539,27.97231,120.62724,-1,27.974714922237407,120.64213955798085
409,1099,69.15455768,-7.503937111,27.95855,120.75661,27.92578,120.79581,-1,27.95000695011086,120.78102508758309
189,2693,17.63156238,25.53982908,27.98396,120.69007,27.989197,120.703236,-1,27.997167498855806,120.6965559652936
581,2904,48.26685477,-2.322430096,27.93237,120.77134,27.95985,120.77797,-1,27.95000695011086,120.78102508758309
1133,1895,36.99327863,37.95714789,27.97533,120.72453,27.96905,120.70307,-1,27.9832064862249,120.73087542814596
1552,2305,17.14085361,46.18222114,28.00524,120.72204,27.98543,120.73922,-1,27.9832064862249,120.73087542814596
761,1595,-58.53963827,-3.115678451,28.02569,120.64175,28.03104,120.63718,-1,28.02646435607571,120.64822032843621
111,574,17.27284784,-11.77002043,27.95612,120.65155,27.93368,120.71241,-1,27.94376377530121,120.6807762915662
668,2092,-50.00607008,-5.121221733,28.0105,120.60976,28.0195,120.63455,-1,28.019566281250004,120.62762658333332
936,1232,-34.33611722,-5.468173405,28.02145,120.63334,28.04357,120.651564,-1,28.02646435607571,120.64822032843621
257,353,-36.99808332,-47.01114863,28.076984,120.602335,28.04744,120.60876,-1,28.06240307891061,120.60650673393843
365,2715,-11.52718903,43.08245624,27.98328,120.65734,27.99435,120.66326,-1,27.98019494043322,120.67445415667837
247,1759,-17.3031625,35.10347089,28.04031,120.70544,28.018481,120.682668,-1,28.01665533166333,120.68395215130259
608,2232,12.97986716,30.26287204,27.99367,120.69233,27.99607,120.71016,-1,27.997167498855806,120.6965559652936
307,2899,-20.94495786,19.61544425,28.01573,120.65876,28.02802,120.65472,-1,28.02646435607571,120.64822032843621
556,1238,-10.6841645,3.867234624,27.99014,120.62903,28.00439,120.65275,-1,27.994554579966323,120.63662441498319
865,1015,-39.0289172,-37.83038104,28.0464,120.604,28.02245,120.61239,-1,28.032579904438965,120.61508961282372
2788,2901,27.80416517,5.313198926,27.96243,120.65546,27.97339,120.7071,-1,27.962562888998033,120.69584413064827
1089,1605,-33.92964925,2.369054084,28.02804,120.57818,28.01353,120.6398,-1,28.026435845454554,120.61261207272723
795,2307,19.64863644,-2.737747441,27.91839,120.66065,27.957377,120.682574,-1,27.92814268055556,120.66047484027779
442,963,47.33568787,-1.087199682,27.92124,120.83163,27.93043,120.76147,-1,27.95000695011086,120.78102508758309
609,876,-45.48779847,0.807961914,28.02096,120.62016,28.01851,120.63892,-1,28.019566281250004,120.62762658333332
331,1713,-52.59019593,-8.840108962,28.03958,120.62042,28.01567,120.62619,-1,28.02620499278847,120.62795083653852
518,2622,-19.47702289,32.06058476,28.025347,120.666909,28.0547,120.64565,-1,28.02646435607571,120.64822032843621
433,2507,-14.17113122,22.29000536,28.0276,120.662,28.02519,120.66642,-1,28.02646435607571,120.64822032843621
1982,2901,19.72241484,26.60448718,27.98851,120.70899,27.97339,120.7071,-1,27.9832064862249,120.73087542814596
752,1141,22.75951827,-17.02622992,27.9454,120.65697,27.933084,120.674452,-1,27.94376377530121,120.6807762915662
427,1761,-1.172821815,25.62819127,28.005808,120.669146,27.99851,120.67952,-1,28.002290893566702,120.6712867918639
803,2049,-29.08797827,-9.818319492,28.02715,120.65114,28.01711,120.63167,-1,28.02620499278847,120.62795083653852
636,1391,18.27544568,1.201310241,27.98612,120.70958,27.95467,120.69939,-1,27.9832064862249,120.73087542814596
1108,1895,29.82453501,-25.94248363,27.924685,120.69711,27.96905,120.70307,-1,27.94569042978723,120.70458875957449
983,1923,7.487721063,-9.850692631,27.97699,120.64991,27.99631,120.64437,-1,27.990803190363362,120.65275680331753
341,2481,2.264631809,-10.46890264,27.98975,120.64468,27.97265,120.66766,-1,27.974714922237407,120.64213955798085
109,814,-42.22966105,-32.23759136,28.03316,120.59087,28.06065,120.61145,-1,28.044052805114628,120.59764638977073
621,1876,18.95438557,-35.5207616,27.98848,120.61075,27.954186,120.587915,-1,27.963814004726906,120.59917123319326
775,1108,35.31132235,-38.38086867,27.9189,120.64478,27.924685,120.69711,-1,27.910377117283947,120.66762170576135
552,1794,28.09209431,-6.489832387,27.96536,120.74141,27.94302,120.67619,-1,27.962562888998033,120.69584413064827
407,448,-17.74413559,-35.15330956,28.026727,120.58226,28.024644,120.599644,-1,28.02754658695652,120.5927625666996
1651,2361,37.67398438,17.15131934,27.97707,120.74717,28.03623,120.76776,-1,27.9832064862249,120.73087542814596
909,1481,12.27289628,-28.46648821,27.95992,120.64877,27.96111,120.6227,-1,27.974714922237407,120.64213955798085
344,638,-15.34570641,-7.107852775,27.99981,120.62687,27.99736,120.62159,-1,27.994554579966323,120.63662441498319
1481,2849,10.62715924,-34.26876001,27.96111,120.6227,27.92064,120.57853,-1,27.963814004726906,120.59917123319326
761,2968,-37.4441911,4.305696025,28.02569,120.64175,28.02802,120.6546,-1,28.02646435607571,120.64822032843621
772,2857,-37.37444777,-50.417947,28.05187,120.61117,28.09805,120.59534,-1,28.06240307891061,120.60650673393843
1057,2828,-5.275848691,29.02047263,28.00859,120.67718,28.01051,120.67617,-1,28.002290893566702,120.6712867918639
160,486,33.71357621,23.50676375,27.97864,120.71467,27.97508,120.74612,-1,27.9832064862249,120.73087542814596
287,2129,-1.222623286,-15.78120336,27.986822,120.630326,27.98951,120.64774,-1,27.974714922237407,120.64213955798085
659,1090,-0.131826613,-35.2841825,27.98025,120.58452,27.92639,120.56111,-1,27.963814004726906,120.59917123319326
464,1599,14.35413344,-25.19084656,27.9659,120.64111,27.955208,120.625696,-1,27.963814004726906,120.59917123319326
1689,2528,-47.11761775,10.89835156,28.02095,120.64389,28.023744,120.653645,-1,28.02646435607571,120.64822032843621
1502,1935,-0.382564615,10.06773608,27.991292,120.664871,27.97505,120.67499,-1,27.98019494043322,120.67445415667837
378,2958,34.29798825,13.08940616,27.96458,120.79525,28.01508,120.78821,-1,27.982171395833337,120.81685153125
1949,2012,-35.5677394,2.843494216,28.02608,120.646,28.02392,120.644412,-1,28.02646435607571,120.64822032843621
895,2686,-67.51033189,17.77366448,28.03688,120.73858,28.0508,120.683,-1,28.035213041284393,120.68631727293578
273,293,-56.46689672,2.346425453,28.02613,120.64691,28.02476,120.635142,-1,28.02646435607571,120.64822032843621
1496,2214,26.1467679,2.351861838,27.97767,120.70127,27.9598,120.68203,-1,27.98019494043322,120.67445415667837
668,2666,-37.85548944,-20.76803939,28.0105,120.60976,28.04116,120.62863,-1,28.032579904438965,120.61508961282372
427,487,3.102018812,15.45416697,28.005808,120.669146,27.98776,120.67428,-1,28.002290893566702,120.6712867918639
847,2150,9.258954232,-25.98719556,28.0807,120.8131,27.99711,120.58895,-1,28.031587000000002,120.69906666666667
321,361,48.89890328,0.545176354,27.941,120.76821,27.95277,120.79908,-1,27.95000695011086,120.78102508758309
803,2890,-61.16950908,0.175132099,28.02715,120.65114,28.02424,120.6348,-1,28.02646435607571,120.64822032843621
25,2756,16.01247252,6.899880862,27.976204,120.667973,27.98645,120.68772,-1,27.98019494043322,120.67445415667837
1839,2173,10.66372732,69.32441897,27.97706,120.75192,28.01765,120.74361,-1,27.9832064862249,120.73087542814596
